Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Provincia,Región,Latitud (Decimal),Longitud (decimal),Latitud (Sexagesimal),Longitud (Sexagesimal),rango_baths,rango_dormitorios
836365000,23500,1041550,colina,CondominioLosBosquesdeChicureo,5,5,392.0,997.0,4.0,11112346,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
100000000,2810,124533,buin,Casa2PisosenElMadrigaldeBuin,3,2,65.0,137.0,0.0,9501817,Maipo,Metropolitana de Santiago,-33.7278,-70.7389, -33°43' 40'' , -70°44' 20'' ,1-5,1-5
82000000,2304,102117,puentealto,Circunvalacion/SuperintendenteLuisMorenoPaz,4,1,85.0,85.0,0.0,9504104,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
163714000,4600,203878,puentealto,lasvizcachas,3,3,75.0,150.0,2.0,8071349,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
87000000,2445,108344,puentealto,Vendocasapuentealto,3,1,83.0,92.0,1.0,10205957,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
694005000,19500,864265,colina,lospellinesconlosavellanos,5,5,360.0,890.0,2.0,11073246,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
2669250000,75000,3324097,lascondes,SanDamian/PaulHarris,4,6,1200.0,2500.0,10.0,6086226,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",6-10,1-5
173000000,4861,215442,macul,Av.QuilínySanVicentedePaul,2,1,90.0,295.0,2.0,11071436,Santiago,Metropolitana de Santiago,-33.4869,-70.6039, -33°29' 13'' , -70°36' 14'' ,1-5,1-5
1601194100,44990,1994015,vitacura,Candelariagoyenechea,4,2,351.0,800.0,0.0,5346505,Santiago,Metropolitana de Santiago,-33.4,-70.6,"-33°24' 0""","-70°36' 0""",1-5,1-5
95000000,2669,118306,padrehurtado,SegundaTransversal/BelendeJudas,5,2,125.0,290.0,0.0,6205137,Talagante,Metropolitana de Santiago,-33.5667,-70.8333, -33°34' 33'' ,"-70°47' 60""",1-5,1-5
95000000,2669,118306,laflorida,LosAlercesconMaturana,2,1,70.0,100.0,1.0,11484336,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
250000000,7024,311333,laflorida,MetroRojasMagallanes,8,4,189.0,281.0,2.0,11101142,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,6-10
319954100,8990,398448,colina,Chicureo,4,4,150.0,305.0,2.0,11123197,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
832806000,23400,1037118,lascondes,Luiszegers,5,3,234.0,476.0,5.0,11067353,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
516055000,14500,642659,lareina,CarlosDickens,4,3,190.0,415.0,2.0,11057399,Santiago,Metropolitana de Santiago,-33.4428,-70.5319, -33°26' 34'' , -70°31' 55'' ,1-5,1-5
135000000,3793,168120,laflorida,PerúconavenidaSantaAmalia,3,2,80.0,157.0,2.0,11118337,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
125000000,3512,155666,sanjoaquin,Ventacasasanjoaquín,1,0,170.0,170.0,1.0,10212823,Santiago,Metropolitana de Santiago,-33.4908,-70.6278, -33°29' 27'' , -70°37' 40'' ,SIN BAÑO,1-5
736713000,20700,917451,lascondes,Sevendeespectacularcasaensancarlosdeapoquindo,5,4,221.0,456.0,0.0,10215457,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
706461500,19850,879778,vitacura,LoGalloLasTranqueras,5,4,180.0,346.0,3.0,11078917,Santiago,Metropolitana de Santiago,-33.4,-70.6,"-33°24' 0""","-70°36' 0""",1-5,1-5
155000000,4355,193026,loprado,Avlastorres/yale,5,1,88.0,227.0,4.0,11121025,Santiago,Metropolitana de Santiago,-33.445,-70.7258,"-33°26' 42""", -70°43' 33'' ,1-5,1-5
97500000,2740,121420,maipu,Maipú,3,1,,,1.0,11066928,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
640266660,17990,797343,vitacura,SantaTeresadeLosAndes9600-9900,4,3,224.0,265.0,0.0,8453331,Santiago,Metropolitana de Santiago,-33.4,-70.6,"-33°24' 0""","-70°36' 0""",1-5,1-5
686887000,19300,855401,santiago,CercanaaMatucanaConMartinezdeRozas,15,4,604.0,691.0,6.0,11099936,Santiago,Metropolitana de Santiago,-33.4372,-70.6572,"-33°26' 14""","-70°39' 26""",1-5,11-15
145000000,4074,180573,puentealto,AvenidaLaFlorida-TrinidadOriente-VillaElAlba.,3,2,98.0,177.0,1.0,10779369,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
93000000,2613,115816,maipu,Elhuaso,2,1,96.0,111.0,1.0,11124595,Santiago,Metropolitana de Santiago,-33.5167,-70.7667,"-33°31' 0""","-70°46' 0""",1-5,1-5
82000000,2304,102117,cerronavia,CerroNavia,2,0,,,0.0,9253034,Santiago,Metropolitana de Santiago,-33.4219,-70.735, -33°25' 19'' ,"-70°44' 6""",SIN BAÑO,1-5
441316000,12400,549584,nunoa,RositaRenard,4,2,150.0,200.0,4.0,11057306,Santiago,Metropolitana de Santiago,-33.4539,-70.6039, -33°27' 14'' , -70°36' 14'' ,1-5,1-5
199500000,5606,248443,puentealto,MallTobalabaporAvenidaelPeral,4,3,140.0,230.0,3.0,11113460,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
68000000,1911,84682,sanramon,JuanLuisSanfuentes,1,1,30.0,162.0,1.0,11483201,Santiago,Metropolitana de Santiago,-33.5428,-70.6439,"-33°31' 60""","-70°38' 30""",1-5,1-5
81857000,2300,101939,puentealto,angelpimentelconnonatocoo,2,1,41.0,95.0,1.0,11100090,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
492921500,13850,613850,lascondes,IsabelLaCatòlica,3,2,133.0,210.0,0.0,11074236,Santiago,Metropolitana de Santiago,-33.4167,-70.5833,"-33°25' 0""","-70°35' 0""",1-5,1-5
330987000,9300,412188,laflorida,CaminodelasAraucarias/AltoMacul,3,3,108.0,340.0,0.0,11069535,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
165422320,4648,206005,puentealto,PuenteAlto,3,3,83.0,120.0,1.0,8763405,Cordillera,Metropolitana de Santiago,-33.6158,-70.57, -33°36' 57'' ,"-70°34' 12""",1-5,1-5
405726000,11400,505263,colina,CondominioLagunaSantaElena,3,3,127.0,350.0,2.0,11080010,Chacabuco,Metropolitana de Santiago,-33.1939,-70.6678, -33°11' 38'' , -70°40' 4'' ,1-5,1-5
280000000,7867,348692,macul,RamonToroIbañez,6,3,250.0,340.0,4.0,11057326,Santiago,Metropolitana de Santiago,-33.4869,-70.6039, -33°29' 13'' , -70°36' 14'' ,1-5,6-10
391490000,11000,487534,providencia,CasaLeyPereira/PlazaPedrodeValdivia/Lyon,4,2,163.0,140.0,1.0,11482247,Santiago,Metropolitana de Santiago,-33.435,-70.6158,"-33°26' 6""", -70°36' 57'' ,1-5,1-5
1245294100,34990,1550802,lobarnechea,GolfdeManquehue/LosTrapenses/SantiagoCollege,5,5,463.0,851.0,4.0,9152711,Santiago,Metropolitana de Santiago,-33.35,-70.5167,"-33°21' 0""","-70°31' 0""",1-5,1-5
170832000,4800,212742,laflorida,ColombiaconTrinidadOriente,4,2,96.0,187.0,1.0,11100227,Santiago,Metropolitana de Santiago,-33.525,-70.5378,"-33°31' 30""", -70°32' 16'' ,1-5,1-5
